,Hotel_Name,Location,Address,Cost,Property_type,Likes,Rating,Review
180,"Mayfair Hotel, Maitama",Maitama,"Maitama, Abuja - 2 Danube Street, Off IBB Way, Maitama ","₦50,000",Hotel,378,NA,NA
181,Fraser Suites Abuja,Central Business District,"Central Business District, Abuja - Plot 294, Leventis Close","₦274,718",Hotel,319,NA,NA
182,Pridemark Apartment ,Garki,"Garki, Abuja - 12 Borno Street, Area 10",NA,Hotel,201,NA,NA
183,Falak Grand  Hotel ,Garki,"Garki, Abuja - Plot 7  Oro Ago Street . Opp Old  Ferma Office Now...","₦20,000",Hotel,173,7.2 Very Good,From 2 reviews
184,Denis Hotel,Wuse 2,"Wuse 2, Abuja - Plot 910, Ndjamena Crescent, Off Aminu Kano Cresce...","₦65,000",Hotel,162,NA,NA
185,Lakewood Luxury Apartments,Asokoro,"Asokoro, Abuja - 5 Margaret Thatcher Close Off Queen Elizabeth Stre...","₦60,000",Hotel,160,NA,NA
186,Stonehedge Hotel,Central Business District,"Central Business District, Abuja - 1041 Kur Mohammed Street, Central Business Distric...","₦44,500",Hotel,151,NA,NA
187,Inti's Royal Suites,Garki 2,"Garki 2, Abuja -  Plot 287, Ladoke Akintola Boulevard","₦25,000",Hotel,125,6.4 Very Good,From 1 review
188,Hotel De Horizone,Wuse,"Wuse, Abuja - Plot 5, Kandi Close, Off Aminu Kano Crescent, Wuse...","₦25,000",Hotel,86,NA,NA
189,D'Franklin Apartments,Life Camp,"Life Camp, Abuja - No 1, Paul Muotolum Crescent , Plot 1010 Old Gwari...","₦35,000",Hotel,32,NA,NA
190,Oxford Hotels,Wuse,"Wuse, Abuja - 26, Suez Crescent, Abacha Estate, Wuse Zone 4, Abu...","₦18,000",Hotel,2154,6.6 Very Good,From 15 reviews
191,Atlas International Hotels,Gwagwalada ,"Gwagwalada , Abuja - 1, Secretarait Road, Gwagwalada Abuja ","₦4,500",Hotel,333,NA,NA
192,The Duchess Hotel And Spa,Maitama,"Maitama, Abuja - N0 2, Lake Valencia Crescent, Off Limpopo Street M...","₦20,000",Hotel,328,NA,NA
193, Kriscane Suites,Gwarinpa,"Gwarinpa, Abuja - Plot 21, Mamman Shata Street","₦15,000",Hotel,159,NA,NA
194,Western Dreams Hotel,Jabi,"Jabi, Abuja - Plot 387 Idris Ibrahim Crescent, Opposite Golf Cou...","₦23,000",Hotel,90,NA,NA
195,House X,Wuse ,"Wuse , Abuja - Plot A25 Faplins Estate, Dakwo District. Abuja","₦18,000",Hotel,67,NA,NA
196,"The Capital Apartments, Abuja",Asokoro,"Asokoro, Abuja - No 4 Tito Broz Off Jimmy Carter Avenue, Asokoro ","₦18,900",Hotel,64,NA,NA
197,The Venetian Suite,Utako,"Utako, Abuja - No 18 YPO Sodiende Street Off Augustus Aikhomu Way...","₦18,000",Hotel,21,NA,NA
198,Divemer Hotels,Wuse,"Wuse, Abuja - Plot 697 Wuye District, Opposite Family Worship Ce...","₦10,000",Hotel,748,NA,NA
199,Hotel Oyus (formerly Classic Int'l Hotel),Gudu,"Gudu, Abuja -  Front A Legislative Portals Along Apo Apartment B...","₦8,000",Hotel,302,NA,NA
200,The Grand Mirage Hotel,Garki,"Garki, Abuja - 36 Port Harcourt Crescent Off Gimibiya Street  Are...","₦15,750",Hotel,358,6.5 Very Good,From 6 reviews
201,Broadfield Hotels Apo Residence,Apo,"Apo, Abuja - 2 Ahmadu Bello Way, Apo, (Opposite Legislative Qua...","₦43,000",Hotel,309,NA,NA
202,Cottage Hotel,Mpape,"Mpape, Abuja - Berger Quarry Road ","₦4,000",Hotel,190,NA,NA
203,Ekiti House Hotel (Formerly Rosebud Hotel And Apartment),Central Business District,"Central Business District, Abuja - Plot 1042 Kur Mohammed Way Ekiti House","₦35,000",Hotel,144,6.4 Very Good,From 3 reviews
204,Petrus Hotels Royale,Garki,"Garki, Abuja - 7, Agatu Street Off Gimbiya Street, Off Ahmadu Bel...","₦37,500",Hotel,136,NA,NA
205,Ville Regent Hotel ,Wuse,"Wuse, Abuja - Plot 1247, Aminu Kano Crescent ","₦25,000",Hotel,112,NA,NA
206,Promel Hotel Formerly (Sharon Regency Hotels),Wuse,"Wuse, Abuja - Plot 1312 Nairobi Street, Off Aminu Kano Crescent",NA,Hotel,110,NA,NA
207,Choice Guest House,Jahi,"Jahi, Abuja - Opposite Vigilante Office, Jahi II, FCT Abuja","₦3,000",Hotel,110,NA,NA
208,The Alexis Hotel And Conference Center,Jabi,"Jabi, Abuja - Plot 693, Obafemi Awolowo Way, Zone B4, Jabi  Abuj...","₦25,000",Hotel,99,NA,NA
209,Ajuji Greenwich Hotel,,", Abuja - Plot 1083 Joseph Gomwalk Street, Off Abdulsalami A...","₦64,400",Hotel,88,NA,NA
210,Georgio Hotel And Resort,Maitama,"Maitama, Abuja - 2 Asa Street By Salt Lake Off Gana Street","₦25,000",Hotel,73,NA,NA
211,BON Hotels Grand Towers,Katampe,"Katampe, Abuja - Plot 1139 Cadastral Zone ","₦32,000",Hotel,64,NA,NA
212,Faaks Hotel,Gwaqwalada,"Gwaqwalada, Abuja -  Lokoja Express Road, Gwagwalada",NA,Hotel,58,NA,NA
213,Decitizen Guest House,Kubwa,"Kubwa, Abuja - Plot C23 Sultan Dasuki Road ",NA,Hotel,51,NA,NA
214,URBAN ROOTZ GUEST HOUSE,Maitama,"Maitama, Abuja - Volta Street Maitama Abuja","₦76,230",Hotel,19,NA,NA
215,Denoyab's Place International,Kubwa,"Kubwa, Abuja - Plot 89 Cadastral Zone 07- 05, Biajhin, Beside Hop...","₦5,000",Hotel,233,NA,NA
216,Stratton Hotel Asokoro ,Asokoro,"Asokoro, Abuja - Bola Ige Close, Mohammadu Ribadu Street, Off Shehu...","₦154,080",Hotel,642,7.8 Very Good,From 6 reviews
217,Pennsylvania Avenue Hotel & Suites,Utako,"Utako, Abuja -  Plot 42, IBM Haruna Crescent Behind Utako Market ","₦35,000",Hotel,427,6.2 Very Good,From 2 reviews
218,KINDEA HOTELS ( Formerly Lake Chad Palace Hotel),Maitama,"Maitama, Abuja - No. 4 Lake Alau Close Off Lake Chad Crescent IBB B...","₦35,000",Hotel,170,6.9 Very Good,From 6 reviews
219,Onyx Hotel ,Garki,"Garki, Abuja - 12 Ayedun Close, Off Gwandu Street, By Sahad Store...","₦35,250",Hotel,151,7.0 Very Good,From 2 reviews
220,Roses Hotel,Garki,"Garki, Abuja - Plot 816, Off Dunamis Church Road, By Old Secretar...","₦12,025",Hotel,125,NA,NA
221,Jades Hotels,Wuse,"Wuse, Abuja - No. 24 Ndola Crescent Opposite NYSE Secretariat, Z...","₦40,000",Hotel,118,NA,NA
222,Golden Gate Hotel,Wuse,"Wuse, Abuja - 2, Tessaqua Street, Off Mombassa Street, Zone 5. ","₦45,000",Hotel,116,6.6 Very Good,From 1 review
223,Bolton White Apartment,Wuse 7,"Wuse 7, Abuja - 31 Kigoma Street, Opp. Federal Road Safety Agency","₦65,000",Hotel,114,NA,NA
224,Gombe Jewel Hotel,Wuse,"Wuse, Abuja -  22 N'djemena Street","₦32,500",Hotel,90,NA,NA
225, Ateilier Boutique Hotels,Asokoro,"Asokoro, Abuja - 12, Ukpabi Asika Street, Off Ajayi Crowther Street...","₦90,000",Hotel,43,NA,NA
226,YOUR PLACE AT ASOKORO,Asokoro,"Asokoro, Abuja - # 1 JULIUS NYERERE CRESCENT ASOKORO","₦45,000",Hotel,14,NA,NA
227,De Pegwas Hotel,Dutse,"Dutse, Abuja - Plot 23 Zone 13 Second Gate, Dutse Alhaji","₦3,500",Hotel,200,6.5 Very Good,From 3 reviews
228,Richway Hotels,Nyanya,"Nyanya, Abuja - Plot 129  Nyanya/Keffi Road","₦5,000",Hotel,151,NA,NA
229,Charriot Hotels ,Asokoro,"Asokoro, Abuja - 7, Tito Broz Street Off Jimmy Carter Street","₦38,500",Hotel,99,NA,NA
230,Bison Guest House,Nyanya,"Nyanya, Abuja - Plot 7 Area A Hospital Road ","₦2,500",Hotel,41,NA,NA
231,Crest Guest House,Mararaba,"Mararaba, Abuja - 1, Baba Street",NA,Crest Guest House,30,NA,NA
232,Swiss Pearl Continental Hotel,Wuse 2,"Wuse 2, Abuja -  No. 3 Koforidua Street, Wuse Zone 2 ","₦15,000",Hotel,452,NA,NA
233,12th April Resorts Hotel,Gwagwalada,"Gwagwalada, Abuja - 113 Commercial Layout, Hospital Road Gwagwalada","₦12,000",Hotel,341,6.7 Very Good,From 5 reviews
234,Arcade Club Suites,Central Business District,"Central Business District, Abuja - Plot 68 1st Avenue By Shehu Shagari Way, Central B...","₦16,000",Hotel,172,6.0 Very Good,From 1 review
235,Ouupic Royal Suites,Gwarinpa,"Gwarinpa, Abuja - House 6 3rd Avenue ","₦9,000",Hotel,121,6.2 Very Good,From 2 reviews
236,Boardwalk Hotel Formerly (The Concierge By Cubana ),Wuse 2,"Wuse 2, Abuja - 15 Kampala Street, Off Adetokunbo Ademola Crescent","₦30,000",Boutique Hotel,118,6.0 Very Good,From 2 reviews
237,QUALIBEST GRAND HOTEL,Utako,"Utako, Abuja - 51 M.L. Wushishi St, Utako, District, Abuja","₦55,000",Hotel,82,NA,NA
238,Ojays Guest House,Kaura,"Kaura, Abuja - 23/25 Drive 6, Phase 2 Prince And Princess Estate","₦20,000",Hotel,58,NA,NA
239,Lamonde Hotel,Wuse 2,"Wuse 2, Abuja - 1 Buchanan Crescent, Off Amino Kano Crescent, Wuse...","₦15,500",Lamonde Hotel,43,NA,NA
240,Spring View Hotel,Wuse,"Wuse, Abuja - No 19 Addis Ababa Crescent ","₦12,075",Hotel,40,NA,NA
241,New Under The Wave Hotel,Gwagwalada,"Gwagwalada, Abuja - Opposite Radio House, Kutunku","₦16,000",Hotel,38,NA,NA
242,Duchess Villa Grand Hotel,Wuse 2,"Wuse 2, Abuja - 15, Mondou Street, Wuse II, Abuja","₦40,000",Hotel,19,NA,NA
243,African Safari Hotels,Wuse,"Wuse, Abuja - Plot 16, Mekong Crescent, Off Euphrates Street,","₦19,745",African Safari Hotels,160,7.5 Very Good,From 7 reviews
244,Sunrise Unique Resort,Kubwa ,"Kubwa , Abuja - Plot A64 Sunrise Road, Opp Total Fillling Station ...","₦7,000",Hotel,99,NA,NA
245,Keblat Hotel & Suites,Lugbe,"Lugbe, Abuja - Plot 50, A Close, 1(W) Road, 1st Avenue, F.H.A Est...",NA,Keblat Hotel & Suites,28,NA,NA
246,Arsenal Guest House,Kubwa,"Kubwa, Abuja - No 144, New Mailama, Kubwa","₦3,500",Hotel,110,7.0 Very Good,From 2 reviews
247,The Eminence Resorts Limited,Nyanya,"Nyanya, Abuja - Plot 2B, Area A New Extension, By Last Road Off Ch...","₦2,500",The Eminence Resorts Limited,27,NA,NA
248,Top Rank Hotels ,Garki,"Garki, Abuja - Plot 892 Gimbiya Street, Off Ahmadu Bello Way Gark...","₦26,450",Hotel,185,NA,NA
249,Peace Court Hotels ,Wuse,"Wuse, Abuja - 9, Kabale Close, By Heritage House, Off Sultan Abu...",NA,Hotel,166,NA,NA
250,The Dove Resort Ltd,Mabushi District,"Mabushi District, Abuja - Plot 506, After V.I.O Headquaters, Mabushi Distric...","₦13,000",Hotel,95,6.0 Very Good,From 1 review
251,Peackastel Royal Suite,Nyanya,"Nyanya, Abuja - Plot 2 Area A New Extension ","₦4,000",Hotel,80,NA,NA
252,Q Palace Hotel,Maitama,"Maitama, Abuja - Plot 1507, Yedsaram Street",NA,Hotel,104,NA,NA
253,Nando Guest Inn,Gwagwalada,"Gwagwalada, Abuja - Along FRCN Road, By Abbatoir Curvet",NA,Nando Guest Inn,49,6.2 Very Good,From 2 reviews
254,YETS APARTMENTS & SUITES,Wuse 5,"Wuse 5, Abuja - 31 Khartoum Street, Zone 5, Wuse, Abuja. Nigeria.","₦9,200",Hotel,34,NA,NA
255,Benny Rose Hotel,Garki,"Garki, Abuja - Number 6, Umudioka Close, Off Ngwe Close, Area 3, ...","₦52,500",Hotel,486,NA,NA
256,Cosy Rest Guest House,Gwagwalada,"Gwagwalada, Abuja - Plot 9/10, Custom Layout, Opposite Gwagwalada Spec...","₦10,000",Guest House,380,NA,NA
257,Pechez International Hotels ,Wuse,"Wuse, Abuja - 1 Ajesa Street Opp Drum Stix Off Aminu Kano Cresce...","₦11,590",Hotel,283,NA,NA
258,Bayelsa State Guest House,Maitama,"Maitama, Abuja - Plot 1038, Shehu Shagari Way","₦15,500",Hotel,240,NA,NA
259,Peniel Apartments Abuja,Wuse,"Wuse, Abuja - Plot 171 Adetokunbo Ademola Crescent, Off IBB Way,...","₦65,700",Hotel,224,6.6 Very Good,From 4 reviews
260,Madugu Hotels ,Jabi,"Jabi, Abuja -  18 Ebitu Ukiwe Street Jabi","₦55,000",Hotel,142,NA,NA
261,Satellite Hotel Bwari,Bwari,"Bwari, Abuja - Plot 201, Ushafa Bwari Road",NA,Budget Hotel,131,NA,NA
262,Blumy Guest House,Gwarinpa,"Gwarinpa, Abuja - 51/53 3rd Avenue Gwarinpa ","₦6,555",Guest House,103,NA,NA
263,Anabel Apartment And Suites Abuja (Formerly LEZSCO LUXURY APARTMENT HOTEL),Asokoro,"Asokoro, Abuja - 14, Otuoke Street, Asokoro Zone D, Off Gimbiya Str...","₦56,200",Hotel,97,NA,NA
264,Febson Hotels,Wuse,"Wuse, Abuja - Plot 2425 Herbert Macaulay Way","₦16,000",Hotel,97,NA,NA
265,Grandview Suite & Night Club,Nyanya,"Nyanya, Abuja - Plot 148 Phase 1 ","₦2,500",Hotel,86,NA,NA
266,Better Life Hotel,Mpape,"Mpape, Abuja - 13, Ibrahim Gima Way, Off Julius Berger Quarry, Mp...","₦3,500",Hotel,71,NA,NA
267,Ayalla Hotels,Garki,"Garki, Abuja - Off Ahmadu Bello Way,garki Area 11,ibi Close Behin...","₦49,000",Hotel,69,6.2 Very Good,From 2 reviews
268,New Nalex Hotel,Gwagwalada,"Gwagwalada, Abuja - Plot 6-8 FRCN Road","₦7,500",New Nalex Hotel,64,NA,NA
269,The Manal Hotel & Resort,Utako,"Utako, Abuja - Plot 1001, Ibrahim Tahir Lane, Off Shehu Musa Yara...","₦27,000",Hotel,60,NA,NA
270,Jabu Guest Inn,Abuja,"Abuja, Abuja - Zhaji Jabu, Abuja",NA,Jabu Guest Inn,53,NA,NA
271,Saabhi's Place,Wuye,"Wuye, Abuja - Plot 1191, Off Reuben Okoya Crescent, Wuye Distric...","₦19,000",Hotel,53,NA,NA
272,Pine Crest  Exclusive Hotel And Suites,Garki,"Garki, Abuja - 2 Ringim Close  Off Yola Street, Area 7",NA,Hotel,47,NA,NA
273,Jubilee Conference Centre Annex,Jahi,"Jahi, Abuja - Plot 455 Jahi District, Beside Canada Garden Centr...",NA,Hotel,47,NA,NA
274,New Golden Hotel,Wuse,"Wuse, Abuja - 21 Kigoma Street, Wuse Zone 7","₦12,960",Hotel,43,NA,NA
275,Z'bass Lounge And Bar, Gwagwalada," Gwagwalada, Abuja - Z'bass Lounge And Bar Before Gwagwalada Area Counc...","₦6,000",Hotel,41,NA,NA
276,WAXRIDE RESIDENCE,Life Camp,"Life Camp, Abuja - Plot 728 Olu Agabi Close, By Tak Continental Estat...","₦28,750",Hotel,38,NA,NA
277,Princess Suites,Wuse,"Wuse, Abuja - Plot 1760/N0 53, Lome Street, Zone 7","₦10,200",Princess Suites,27,NA,NA
278,Ozidu House,Maitama,"Maitama, Abuja - No 24 Osun Crescent Maitama","₦40,000",Hotel,27,NA,NA
279,Hallal Hotel,Gwagwalada,"Gwagwalada, Abuja - Plot 723, Gwagwalada Expansion Layout FRCN Road",NA,Hotel,25,NA,NA
280,Champions Lodge,Asokoro,"Asokoro, Abuja - Plot 3347 Justice Lawal Uwais Street","₦25,000",Hotel,25,NA,NA
281,Lamond Hotels,Wuse,"Wuse, Abuja - 1 Buchanan Crescent","₦18,400",Hotel,23,NA,NA
282,Optimal Hotel,Garki,"Garki, Abuja - Plot 2005 Owo Close Behind Nipost Area 10","₦19,800",Hotel,639,NA,NA
283,Rami Guest Inn, Zuba," Zuba, Abuja - Zuba Road, Opposite Peace Park","₦3,000",Rami Guest Inn,125,7.6 Very Good,From 1 review
284,Dokidiri Hotel Limited,Karu,"Karu, Abuja - 1 Jikwoyi Road, Next To Karu Market Opposite  Karu...","₦8,000",Dokidiri Hotel Limited,30,NA,NA
285,Silver Gate Hotels,Lugbe,"Lugbe, Abuja - Federal Housing Authority Estate, Phase 2, Behind ...",NA,Silver Gate Hotels,28,NA,NA
286,Akwa Ibom Guest House ,Central Business District,"Central Business District, Abuja - Plot 816 Central Area, Abuja",NA,Akwa Ibom Guest House ,25,NA,NA
287,John May Guest House,Kubwa,"Kubwa, Abuja - Plot D 15 Close, Phase 2 Site1 Lagos Street","₦6,000",Hotel,112,NA,NA
288,Oga Best Hotels West Africa Limited ,Kubwa,"Kubwa, Abuja - Block 236, Channel 8 Street, Back Of St Luke\'s Ca...","₦2,500",Oga Best Hotels West Africa Limited ,56,NA,NA
289,Boti Lodge Limited,Garki,"Garki, Abuja - Plot 816 Uyo Close Crescent 11 Garki","₦12,500",Boti Lodge Limited,47,NA,NA
290,New England Guest House,Kubwa,"Kubwa, Abuja - New England Close, Off Emotan Street, Off Sultan D...","₦6,500",New England Guest House,36,NA,NA
291, Kabiru Hotel,Garki,"Garki, Abuja - Plot 21 S.L. Akintola Boulevard Zone Ll Garki  POB...","₦8,200",Hotel,36,NA,NA
292,SpringView Hotel Asokoro,Asokoro,"Asokoro, Abuja - No 32, Julius Nyerere Crescent, Asokoro,","₦13,200",SpringView Hotel Asokoro,28,NA,NA
293,Pamadas Guesthouse,Dawaki,"Dawaki, Abuja - 13/14, Agulu Street, Dawaki",NA,Pamadas Guesthouse,25,NA,NA
294,Royal Dream Hotel Limited,,", Abuja - Along Abuja/Keffi Road, Beside Diamond Bank Marara...",NA,Royal Dream Hotel Limited,23,NA,NA
295,Disney Hotel And Resorts,Apo,"Apo, Abuja - Plot 238 Cadastral Zone, Beside GTBank",NA,Hotel,45,NA,NA
296,Casa De Lucy,Apo,"Apo, Abuja - Plot 585, David Jemibewon Crescent, Behind Apo Leg...",NA,Hotel,34,NA,NA
297,Hilltop Guest House (Annex),Karu,"Karu, Abuja - No 30 Riverside Street Hiltop ","₦4,500",Hotel,15,NA,NA
298,Karibu Hotels,Garki,"Garki, Abuja - 21, Samuel Ladoke Akintola Boulevard, Garki 2","₦15,000",Hotel,43,NA,NA
299,Ideal Holiday Home,Garki 2,"Garki 2, Abuja - Plot 696 Ubiaja Crescent ,","₦39,000",Ideal Holiday Home,38,NA,NA
300,New Diamond Executive Suite Limited,Kubwa,"Kubwa, Abuja - Plot 221, Bakori Road, Phase 2, Site II, By P. W B...","₦6,000",New Diamond Executive Suite Limited,36,NA,NA
301,Apache Hotel,Gwarinpa,"Gwarinpa, Abuja - Plot 13 Road 611, 7TH Avenue FHA","₦13,500",Hotel,28,NA,NA
302,Peace Guest House,Mpape,"Mpape, Abuja - Katampe 1, Abuja, Mpape",NA,Peace Guest House,19,NA,NA
303,Semem Hotel ,Mararaba,"Mararaba, Abuja - Off Mammy Road ","₦3,500",Hotel,15,NA,NA
304,Regico Guest Inn,Kubwa,"Kubwa, Abuja - No. 1, NYSC Orientation Camp Road, Off Zuba Way",NA,Regico Guest Inn,14,NA,NA
305,Sapphire Guest House, Kubwa," Kubwa, Abuja - Nepa Road, Kubwa",NA,Sapphire Guest House,12,NA,NA
306,Confidential Hotel,Nyanya,"Nyanya, Abuja - Phase 4, Nyanya Road",NA,Confidential Hotel,8,NA,NA
307,Ericca Guest House,Garki,"Garki, Abuja - 42 Onitsha Crescent, Gimbiya Street Area 11","₦8,000",Hotel,47,NA,NA
308,Duntees Apartments ,Wuse,"Wuse, Abuja -  5, Nile Street, Sun City Estate, Phase II, Wuse, ...","₦15,000",Duntees Apartments ,25,NA,NA
309,Dajibo Exclusive Guest House,Kubwa,"Kubwa, Abuja - 1 Ma\'ap Street/1 Summer Street, Off Dago Nasko Ro...","₦2,500",Dajibo Exclusive Guest House,21,NA,NA
310,Regal Lodge,Lugbe,"Lugbe, Abuja - 16E Road, F.H.A Estate, Airport Road",NA,Regal Lodge,19,NA,NA
311,Zenith Guest Inn,Nyanya,"Nyanya, Abuja - Opposite Vet. Clinic","₦3,000",Hotel,14,NA,NA
312,Jenny Guest Inn Limited,Nyanya,"Nyanya, Abuja - Nopil Junction By Vet Road","₦1,800",Hotel,12,NA,NA
313,B 58-A Hotel,Gwarinpa,"Gwarinpa, Abuja - Sahara Homes Security Estate ","₦18,000",B 58-A Hotel,12,NA,NA
314,Pizza Paradise & Guest House,Wuse,"Wuse, Abuja - 12 Konoko Crescent Opp App Plaza","₦9,500",Hotel,10,NA,NA
315,Peace Guest House,Kubwa,"Kubwa, Abuja - Plot 8, S.L. Akinola Boulevard","₦11,500",Peace Guest House,8,NA,NA
316,Haskay Guest House,Gwagwalada,"Gwagwalada, Abuja - Adjacent To Labor House, Kuje Road,",NA,Haskay Guest House,8,NA,NA
317,Dan Yobe Guest Inn,Kubwa,"Kubwa, Abuja - Plot 689, Gbazango Layout, Off Gado Nasko Street, ...",NA,Dan Yobe Guest Inn,8,NA,NA
318,Regent Forest Garden Suites,Gwagwalada,"Gwagwalada, Abuja - Chukuku Town, Kuje Area",NA,Regent Forest Garden Suites,6,NA,NA
319,Ugo Martins Apartment,Lugbe,"Lugbe, Abuja - Plot 20A, Opposite Babangida Market,",NA,Ugo Martins Apartment,6,NA,NA
320,Meck Guest Inn,Kubwa,"Kubwa, Abuja - Plot H 319 Extension,Three F.C.D.A Scheme, Kubwa, ...",NA,Meck Guest Inn,4,NA,NA
321,Titte Guest Inn,Lugbe,"Lugbe, Abuja - Plot 20A, Lugbe FHA, Opposite Babangida Market",NA,Titte Guest Inn,4,NA,NA
322,Parrilla Hotel,Karu,"Karu, Abuja - Plot 170, Kpeyegi Layout By Kpeyegi Primary School",NA,Parrilla Hotel,4,NA,NA
323,Bolingo Hotel And Towers,Central Business District,"Central Business District, Abuja - 777 Independence Avenue Central Business District,...","₦40,000",Hotel,3272,7.3 Very Good,From 23 reviews
324,Transcorp Hilton Abuja,Maitama,"Maitama, Abuja - 1 Aguiyi Ironsi Street Maitama, Abuja","₦143,802",Hotel,3215,7.0 Very Good,From 20 reviews
325,Maitama Guest House,Maitama,"Maitama, Abuja - 25, Yedsaram Street","₦8,800",Guest House,2169,6.8 Very Good,From 21 reviews
326,Afri Hotels,Central Business District,"Central Business District, Abuja - Plot 281 Herbert Macaulay Way, Opposite National D...","₦7,000",Hotel,2877,6.2 Very Good,From 74 reviews
327,AMBIENCE HOTEL ABUJA,Abuja,"Abuja, Abuja - 27 Ontario Cresent,  Suncity Estate, Lokogoma","₦7,000",Hotel,1788,6.3 Very Good,From 3 reviews
328,Langfield Royalty Motel,Garki,"Garki, Abuja - 24 Dunukofia Street Area 11 Opposite Fcda ","₦11,500",Motel,1442,6.3 Very Good,From 17 reviews
329,House 14,Wuse 2,"Wuse 2, Abuja - 14 Kudang Street, Off Moronvia  Street  ","₦12,000",Boutique Hotel,1232,7.5 Very Good,From 8 reviews
330,De Silva Guest House ,Gwarinpa,"Gwarinpa, Abuja - No 24 Cresent, Second Avenue Off Nepa Road",NA,Guest House,1148,7.1 Very Good,From 33 reviews
331,Luziana Hotels,Utako,"Utako, Abuja - Plot 206, Okotie Eboh Street, Behind Chisco Transp...",NA,Hotel,1096,6.0 Very Good,From 20 reviews
332,Salaam Hospitality,Gwarinpa,"Gwarinpa, Abuja - No 26 Femi Adetola Street, Off 7th Avenue, Gwarinp...","₦6,000",Hotel,873,NA,NA
333,FRANKEYZ HAVEN SUITES,Gwarinpa,"Gwarinpa, Abuja - 38/40, 1st Avenue (between NNPC Filing Station And...","₦9,500",Hotel,867,NA,NA
334,Nest Suites And Spa,Wuse 2,"Wuse 2, Abuja - No. 12 Beira Crescent, Off Ademola Adetokunbo Cres...","₦15,500",Spa Hotel,826,NA,NA
335,Church House Hotel,Wuse,"Wuse, Abuja - Doula Street","₦9,000",Hotel,817,NA,NA
336,Daniel Suites,Kubwa,"Kubwa, Abuja - Kilometers 82 Sultan Dasuki Way, PW ","₦5,250",Hotel,780,6.1 Very Good,From 3 reviews
337,Dreamland Suites,Jabi,"Jabi, Abuja - No 4 Amisi Musa Street Off Alex Ekwueme Way, Opp J...","₦18,000",Budget Hotel,752,7.4 Very Good,From 26 reviews
338,Purple Tulip Hotel And Resort,Gwarinpa,"Gwarinpa, Abuja - Plot 420, 4th Avenue, Gwarinpa, Abuja.","₦10,000",Hotel,743,7.4 Very Good,From 17 reviews
339,1 Oak Place,Maitama,"Maitama, Abuja - NO. 38 Euphrates Street Maitama","₦25,800",Luxury Hotel,702,NA,NA
340,LUXRITEL HOTELS LTD,Gwarinpa,"Gwarinpa, Abuja - House 11, 442 Crescent, Citac Villas, Gwarinpa","₦12,000",Hotel,700,NA,NA
341,Vinotel Hotel,Asokoro,"Asokoro, Abuja - N0. 35 Nelson Mandela Street, Off ECOWAS Secretari...","₦10,900",Budget Hotel,689,NA,NA
342,Allied Suncourt Hotel Apartment,Wuse,"Wuse, Abuja - 52 Harper Cresent Opposite Education Resource Cent...","₦18,000",Budget Hotel,687,6.3 Very Good,From 31 reviews
343,Golden Astoria Hotels,Utako,"Utako, Abuja - No. 9, Moses Majekodunmi Crescent","₦9,000",Hotel,651,7.6 Very Good,From 9 reviews
344,Nicon Luxury,Garki,"Garki, Abuja - Plot 903 Tafawa Balewa Way Area 11","₦80,000",Luxury Hotel,650,6.7 Very Good,From 10 reviews
345,E-Suites,Asokoro,"Asokoro, Abuja - No. 21 Jesse Jackson Street Off Jimmy Carter Stree...","₦25,000",Hotel,637,NA,NA
346,Crestwood Hotel And Suites Ltd,Lugbe,"Lugbe, Abuja -  Plot 316, FHA Road, Lugbe Estate Phase Ll","₦8,000",Hotel,585,NA,NA
347,Bamboo House,Maitama,"Maitama, Abuja - 3 Salt Lake Off Usuma Street","₦15,000",Hotel,544,6.2 Very Good,From 18 reviews
348,Bisola Lodge,Lugbe,"Lugbe, Abuja - Kings Of Kngs Road, Off Total Filling Station, FHA","₦3,500",Lodge,529,NA,NA
349,Auris Court Suites ,Mabushi,"Mabushi, Abuja - Plot 550 Cadastral Zone B06 Off VIO Office; Next T...","₦13,000",Hotel,519,NA,NA
350,Bible Guest House,Wuse,"Wuse, Abuja - 23 Ndola Crescent Beside NYSC (FCT) Sec.","₦9,780",Hotel,516,7.7 Very Good,From 9 reviews
351,Top Franky Palace Hotel,Kubwa,"Kubwa, Abuja - 78/79 Bama Street, Off Gayata Road, Behind Stanbic...","₦5,000",Hotel,514,6.3 Very Good,From 10 reviews
352,Elyte Guest Inn,Garki,"Garki, Abuja - Plot 440, Zungeru Close, Off Jos Street, Area 3","₦9,500",Hotel,503,6.0 Very Good,From 8 reviews
353,Summerset Continental Hotel (Asokoro),Asokoro,"Asokoro, Abuja - Plot # 104, Kwame Nkurumah, Off Thomas Sankara Str...","₦40,000",Boutique Hotel,501,NA,NA
354,Some Places Else Hotel/Guest House,Lugbe,"Lugbe, Abuja - Plot 316, FHA Road, Lugbe Estate Phase Ll","₦4,000",Hotel,495,7.3 Very Good,From 4 reviews
355,Rockview Hotel Royale,Wuse,"Wuse, Abuja - 196 CAD Zone A8 Adetokunbo Ademola Crescent       ...","₦46,530",Hotel,492,7.7 Very Good,From 6 reviews
356,Rita Lori Hotels Abuja,Garki,"Garki, Abuja - Plot 473 Ahmadu Bello Way","₦11,500",Hotel,492,7.1 Very Good,From 5 reviews
357,La Don Hotels,Jabi,"Jabi, Abuja - No 2 Ndagi Mamudu Close Opposite Police Quaters","₦16,000",Boutique Hotel,484,NA,NA
