,Hotel_Name,Location,Address,Cost,Property_type,Likes,Rating,Review
53,Nordic Hospitality Suites,Jabi,"Jabi, Abuja - No 14 Patrick O Bokkor Cresent Jabi ","₦35,000",Boutique Hotel,756,NA,NA
54,Brickland Residence ,Wuse Zone 6,"Wuse Zone 6, Abuja - 32 Kinshasha Street Opposite Foreign Affair Quarte...","₦17,000",Hotel,521,NA,NA
55,Hotel Reno,Katampe,"Katampe, Abuja - Plot 1068, Off Nnamdi Azikiwe Express Way, Opposit...","₦35,000",Hotel,242,NA,NA
56,Bolton White Hotels ,Garki,"Garki, Abuja - 7 Gwandu Street Opposite Sahad Stores Area 11, Gar...","₦90,000",Hotel,1096,7.9 Very Good,From 3 reviews
57, Hawthorn Suites By Wyndham,Garki,"Garki, Abuja - 1 Uke Street, 900001, Area 11.","₦68,000",Hotel,696,NA,NA
58,Bel Classcia (Former Durban Suites),Abuja,"Abuja, Abuja - No 36,Durban Street,Off Adetokunbo Ademola Cresent...","₦15,650",Hotel,309,7.2 Very Good,From 9 reviews
59,Abuja Continental Hotel (Formerly Sheraton Abuja Hotel),Maitama,"Maitama, Abuja - Ladi Kwali Way, Maitama, Abuja","₦190,000",Luxury Hotel,955,NA,NA
60,Ivory Suites,Wuse,"Wuse, Abuja - No. 5 Port Faid Street By Old Sahad Store","₦12,800",Hotel,426,NA,NA
61,Residency Hotel Guzape Abuja,Guzape,"Guzape, Abuja - (Plot 740 Nasir El-Rufai Crescent, Asokoro Extensi...","₦45,000",Hotel,315,NA,NA
62,Villa Picasso (Abuja),Maitama,"Maitama, Abuja - 22 Gana Street, Maitama, Abuja. ( Opposite Transco...","₦49,500",Villa,1273,7.0 Very Good,From 6 reviews
63,Jeparo Hotel ,Gwagwalada,"Gwagwalada, Abuja - Kaduna/Lokoja Road","₦3,500",Hotel,625,NA,NA
64,Stardust Apartments (Formerly Concordia Luxury Apartments),Durumi,"Durumi, Abuja - Plot 201 Durumi District, Off Oladipo Diya Road Op...","₦15,000",Hotel,358,NA,NA
65,Parkview Hotels,Wuse,"Wuse, Abuja - Plot 2390, Takoradi Street, Opposite Amusement Par...","₦25,000",Hotel,278,NA,NA
66,Chida International Hotel,Utako,"Utako, Abuja - Plot 224, Solomon Lar Way, Utako District, Abuja","₦70,000",Budget Hotel,862,NA,NA
67,Aubit Hotel Limited,Nyanya,"Nyanya, Abuja - Area A, Cadstral Zone ","₦9,350",Hotel,501,NA,NA
68,Summerset Continental Hotel,Maitama,"Maitama, Abuja - 73 Usuma Street","₦99,000",Hotel,1695,6.5 Very Good,From 19 reviews
69,Laropa Luxury Suites,Gwarinpa,"Gwarinpa, Abuja - House 54, 21 Road,  2nd Avenue","₦15,000",Hotel,387,NA,NA
70,Canopy Hotels,Utako,"Utako, Abuja - No. 24, Moses Majekodumi Crescent","₦12,000",Hotel,843,6.5 Very Good,From 6 reviews
71,Sheer Luxury Apartments ,Garki 2,"Garki 2, Abuja - Plot 1659 Sapele Street Off Akintola Boulevard","₦35,000",Apartment,908,6.7 Very Good,From 15 reviews
72,THE WELLS CARLTON HOTEL AND APARTMENTS,Asokoro,"Asokoro, Abuja -  8 Gado Nasko Close, Off Jose Marti Street, Asokor...","₦117,500",Hotel,464,6.7 Very Good,From 3 reviews
73,The Nordic Villa,Jabi,"Jabi, Abuja - No. 52, Mike Akhigbe Way","₦71,921",Villa,573,NA,NA
74,Newton Park Hotels And Resorts Limited Annex,Wuse 2,"Wuse 2, Abuja - Plot 24 Alexander Close Off Ahmadu Bello Way, By B...","₦65,000",Hotel,268,6.0 Very Good,From 1 review
75,Beverly Hills Hotels ,Wuse ,"Wuse , Abuja - 62 Aminu Kano Crescent","₦15,000",Hotel,1005,NA,NA
76,Barca Liga Hotels,Apo,"Apo, Abuja - Franca Afegbua Crescent, Gudu District, Near Zone ...","₦30,000",Hotel,728,7.5 Very Good,From 7 reviews
77,1st Forty Hotel,Wuse,"Wuse, Abuja - Plot 38, Aminu Kano Crescent","₦25,000",Hotel,1042,7.3 Very Good,From 11 reviews
78,Pedallo Inn Hotel,Gwarinpa,"Gwarinpa, Abuja - Plot 491 A Close Second Avenue By Nepa Road ","₦9,700",Hotel,294,NA,NA
79,Belvoir Hotel,Wuse,"Wuse, Abuja - 73 Lome Crescent, Opposite Omega Hotel","₦15,000",Hotel,374,NA,NA
80,RALMETON HOTEL,Gwarinpa,"Gwarinpa, Abuja - PLOT C70, ROAD 52, BETWEEN MARSHORIA ARENA ",NA,Hotel,170,NA,NA
81,Nordic Hotel,Mabushi ,"Mabushi , Abuja - Plot 1322 Shehu Yaradua Boulevard, At BluCabana, M...","₦102,850",Hotel,558,NA,NA
82,Tranquil Mews Boutique Hotel,Utako,"Utako, Abuja -  Plot 1079, Behind Julius Berger Head Quarters, Of...","₦30,000",Boutique Hotel,1275,7.7 Very Good,From 23 reviews
